[np.float64(-2.3770398591547177e-71), np.float64(0.10993037053902542), np.float64(-0.07981475211093321), np.float64(0.5228372576896061), np.float64(1864.4342171089825), np.float64(-0.20920654614937859), np.float64(1.0003577856391936), np.float64(9.7350325721414)]
[np.float64(1.0877589063937498e-53), np.float64(0.10053130880016287), np.float64(-0.05414047557596534), np.float64(-1.4897825367468651), np.float64(989.961979182314), np.float64(-0.32236994723793355), np.float64(1.6352156686871098), np.float64(9.9304436661076)]
[np.float64(-0.011352960188246889), np.float64(0.6074791893194222), np.float64(-0.1245414277900053), np.float64(-9.65437852415496), np.float64(1197.3788579945683), np.float64(-1.2617173790066918), np.float64(0.2670155221377892), np.float64(8.9491048373696)]
[np.float64(-8.933541654110851e-07), np.float64(0.6300510585528641), np.float64(-0.048950095484235435), np.float64(-0.4608355676007849), np.float64(4440.480873839292), np.float64(-0.19288900431973588), np.float64(1.5589485701241423), np.float64(9.7551001379214)]
[-3.698410603160885e-22, 0.5420921127324794, -0.10665177261973698, -0.7157110022753801, 4440.480873839292, -0.390882891783508, 0.9913336984013822, 9.8697757879594]
[2.9655429423031254e-14, 0.6694418631616409, -0.017166365528421972, 0.2162778793927882, 8662.405001248297, -0.13655647927023634, 1.9034843039498623, 9.9237454821094]
[-1.4232532910408887e-21, 0.6115945807386818, -0.0137098583119366, 0.623907901026421, 4440.480873479282, -0.15763657614215504, 2.0757619085444214, 9.9573577581601]
[5.18128236335544e-12, 0.5614003569584886, -0.0264977107253644, 0.46704644908307147, 4636.287779937192, -0.26164949525445325, 2.222615261931633, 9.5249705465874]
[6.873109126510664e-16, 0.48767504432044095, -0.05470761043126493, 0.48150479981241334, 8662.366252117288, -0.21767799389091363, 2.169576858607985, 9.9846103404414]
[6.884216357235505e-09, 0.5537149383104902, -0.023742714306269116, 0.5172320129261192, 1911.8643028703236, -0.16204312793791686, 2.34280468602549, 9.9892005974176]
